id,objet,adrs,dept,region,social_object1_libelle,titre,facebook_url,helloasso_url
W912014471,"elle a pour objet de mettre les compétences des membres au service des projets développementaux dans le village Awing, les villages voisins au Cameroun et dans le monde entier dans le cadre des actions de solidarités internationales ;
Elle met en uvre des projets à long terme en réponse à des besoins exprimés par les la population et des acteurs sur place : Action humanitaire, Construction des écoles et  parrainage des enfants, aider les femmes créatrices, veuves et repreneuses d'entreprises au Cameroun ; L'Association travaille en collaboration avec une association sur place au Cameroun, ainsi que d'autres associations ou institutions en France afin de réaliser ses objectifs ;",11 rue de la ferme henry 91330 yerres,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION CULTURELLE ET DE DEVELOPMENT NDONG AWING,https://www.facebook.com/people/Ndong-Awing-Cultural-Development-Association/100072507821280/,not found
W912014777,"elle a pour objet de mettre les compétences des membres au service des plus défavorisés et la scolarité des enfants en particulier dans les villages  au Cameroun, en Afrique et dans le monde entier dans le cadre des actions de solidarités internationales ;
Elle met en uvre des projets à long terme en réponse à des besoins exprimés par les  populations et des acteurs sur place : Action humanitaire, Construction des écoles et  parrainage des enfants, aider les femmes créatrices, veuves et repreneuses d'entreprises en Afrique et au Cameroun en particulier ; La Fondation LUCYMEN travaille en collaboration avec une fondation sur place en Afrique et au Cameroun, ainsi que d'autres associations ou institutions en France afin de réaliser ses objectifs ;",11 rue de la ferme henry 91330 yerres,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),FONDATION SOLIDARITE LUCYMEN,not found,not found
W912014959,"l'AmRAEF a pour objet :
-	Maintenir une communion spirituelle entre les Anciens de l'Eglise membres de l'EPC ;
-	Être un lieu d'échanges, de réflexion et de partage ;
-	Créer et fortifier la solidarité entre ses membres ;
-	Représenter et défendre les intérêts des anciens qui la composent ;
-	Être le creuset de l'évangélisation en France ;",17 impasse marette de guillerval 91000 evry,Essonne,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,EGLISE PRESBYTÉRIENNE CAMEROUNAISE - AMICALE RÉGIONALE DES ANCIENS D'EGLISE DE FRANCE,https://fr-fr.facebook.com/Eglise-Presbyt%C3%A9rienne-Camerounaise-107850822606502/,not found
W912015003,"renforcer l'esprit de solidarité, de fraternité au sein de la communauté des ressortissants de la région du Lac de Guéré - Fianga (Cameroun, Tchad) ;
Organiser des activités culturelles, sociales, éducatives au sein de la communauté ;
Créer et mettre en uvre toutes activités pour faire connaitre et partager la culture des peuples de la région du Lac de Guéré - Fianga en dehors de la communauté ;
Mettre en place des actions de préservation ou d'amélioration des arts, de la culture et du cadre de vie des peuples de la région du Lac de Guéré - Fianga : la santé et bien-être, l'amélioration de l'habitat, la promotion de sports et assimilés, l'accompagnement aux activités génératrices de revenus ;
Participer à la mise en valeur du Lac de Guéré - Fianga ;",15 residence du parc des cascades 91230 montgeron,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION CULTURELLE NOULDA,not found,not found
W913000992,"apporter un soutien et de favoriser le développement culturel, éducatif, sanitaire, social et économique du Cameroun, en collaboration étroite avec les populations et autorités locales ; de développer des liens de solidarité, de coopération et d'amitié avec le Cameroun, en s'enrichissant mutuellement de nos différences, dans la tolérance et le respect",7 allee des charmes 91290 la norville,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,"JEUNESSE-ACTION-RENAISSANCE-DON-INSERTION-NOUVEAU  ""JARDIN""",not found,not found
W913001354,"regrouper des enfants et petits-enfants de BONA MBOULE WANJE de BONAMIKENGUE en France ; elle poursuit notamment des objectifs suivants : recenser les personnes âgées et de les aider dans leurs courses quotidiennes dans nos cités ; initier les enfants en difficultés à l'outil informatique dans nos quartiers ou cités en France et conjointement à Douala au Cameroun ; aider et assister les jeunes en difficultés scolaires de nos cités (soutiens, devoirs et autres...) durant toute l'année ; pendant les week-ends, les vacances scolaires, occuper les jeunes enfants à travers les tournois sportifs ; d'organiser dans nos cités ou quartiers les journées culturelles, thèmes ; organiser les jumelages entre les quartiers ou les jeunes des cités avec la ville de Douala au Cameroun à la culture africaine",9 rue des hortensias 91380 chilly-mazarin,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,BONA MBOULE WANJE DE BONAMINKENGUE EN FRANCE,not found,not found
W913002393,participer au développement et à la coopération avec les habitants de Yaoundé (Cameroun),10 rue rameau 91240 saint-michel-sur-orge,Essonne,Île-de-France,ACTION SOCIOCULTURELLE,AMITIE SAINT-MICHEL-SUR-ORGE/YAOUNDE,not found,not found
W913003084,soutenir la scolarité et améliorer le quotidien des enfants de Demgo situé à l'ouest du Cameroun,29 rue de wissous 91320 wissous,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,LA-HAUT DEMGO,not found,not found
W913003572,"améliorer les conditions de scolarisation des enfants dans les écoles maternelles et primaires nécessiteuses en leur apportant des jouets et Livres à portée de tous ; elle vise également, pour des cas singuliers d'enfants orphelin des deux parents, l'attribution d'un cartable complet pour faciliter sa bonne prise en charge et sa scolarisation ; contribuant ainsi à la scolarisation des enfants ; l'association vise la promotion de leur éducation, partout où elle estime nécessaire et réalisable en Afrique en général, et au Cameroun en particulier ; l'objectif majeur est donc la promotion d'une éducation de qualité à ceux-ci afin de leur permettre de vivre pleinement le plaisir d'apprendre ; elle va inciter une large implication de tous pour offrir à ces école, des jouets éducatifs de toutes natures, adaptés à leur tranche d'âge et au contexte d'une part ; d'autre part l'association leur apporte des livres et offre à chaque école une bibliothèque, un centre de lecture, afin d'induire la lecture et l'alphabétisation à sa manière ; apprentissage qui cadre avec le développement du monde actuel ; sachant la place qu'occupe l'éducation des enfants dans le monde, l'association va agir sur tous les facteurs ayant des incidences dans le domaine éducatif, pour ainsi anticiper leur insertion sociale à l'âge adulte ; l'association agit là où le droit fondamental de cette catégorie de personnes est bafouée ; dans ce but, la sensibilisation du public est faite par tous les moyens autorisés par la Loi, notamment à travers le parrainage, liens de solidarité et fondement de l'association",1 rue guichard 91290 arpajon,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,JOUETS ET LIVRES POUR TOUS (JLPT),not found,not found
W913004126,mise en place de projets du développement solidaire de techniques agricoles et d'élevage en vue de réduire la pauvreté et prévenir l'exode rural en Afrique en général et au Cameroun en particulier ; elle oeuvre également pour le transfert de technologies et connaissances ; fait les actions d'échanges culturelles entre la France et le Cameroun,10 rue jacques brel 91240 saint-michel-sur-orge,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,RENAFRIQUE,https://www.facebook.com/Renafrique/,not found
