id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,mot_cle
W121000339,ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE DES AMANDIERS,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; mettre en oeuvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national ; a cet effet, adhérer à l'apel du département de l'aveyron, adhérente à l'apel de l'académie de toulouse, elle-même membre de l'apel nationale ; réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement et contribuer à son animation",2 D,PL,du Soleirol,12100,Saint-Georges-de-Luzençon,,A,Ecole
W121000340,ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE (A.P.E.L.) DE L'ECOLE PRIVEE D'AGUESSAC,grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien de l'école et des maîtres.,,RUE,des Ecoles,12520,Aguessac,,A,Ecole
W121000341,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE TOURNEMIRE,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école. soutenir l'école, les familles et les maîtres.",,,,12250,Tournemire,,A,Ecole
W121000342,CLUB INFORMATIQUE DU VIALA DU TARN,la diffusion de l'informatique et des techniques multimédias.,,,,12490,Viala-du-Tarn,,A,Viala
W121000343,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BRASC,"la gestion de la cantine scolaire, l'organisation de diverses manifestations, organisation de la vie de l'école.",,,,12550,Brasc,,A,Ecole
W121000344,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE VERRIERES,gérer la caisse coopérative de l'école et participer à la vie scolaire et extra-scolaire.,,RUE,Conclus,12520,Verrières,,A,Ecole
W121000352,SOCIETE COMMUNALE DE CHASSE DU VIALA DU TARN,gouper les propriétaires et les habitants de la commune en vue du développement du gibier.,,,,12490,Viala-du-Tarn,,A,Viala
W121000354,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT JEAN DU BRUEL,favoriser toute activité ayant trait à la vie de l'école publique de saint-jean du bruel - sauclières,32,,Grand-rue,12230,Saint-Jean-du-Bruel,,A,Ecole
W121000357,ORGANISME DE GESTION DE L'ETABLISSEMENT CATHOLIQUE (O.G.E.C.) ECOLE PRIVEE DE COMPEYRE,"assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente dans le respect du droit français et de accords conclus au sein de l'enseignement catholique. l'association pourra se livrer à toute activitése rapportant à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes. réaliser toutes activités parascolaires (accueil, hébergement, restauration, mise à disposition de locaux), et toute activité liée à son objet.",,,Le Bourg,12520,Compeyre,,A,Ecole
W121000359,ASSOCIATION DES PARENTS D'ELEVES DE VIALA DU TARN,organisation d'activités extra-scolaires et soutien financier et logistique aux activités pédagogiques,,,,12490,Viala-du-Tarn,,A,Viala
W121000364,OGEC ECOLE DE CRÉPOUNAC,"dans le repect du droit français d'une part, du statut de l'enseignement catholique en france, des décisions du comité national de l'enseignement catholique, des accords conclus en son sein d'autre part, d'assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; assurer la gestion économique, financière et sociale de l'établissement, conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes de l'enseignement catholique ; contribuer à la mise en oeuvre matérielle du projet éducatif ; employer des peronnels de droit privé ; se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture, à toute activité en lien avec son objet principal",rue,,du couvent,12250,Tournemire,,A,Ecole
