titre,objet,mot_cle
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LUGAN,aider l'école,ecole
ASSOCIATION DES PARENTS D'ELEVES AGNAC-LABESSENOITS,AIDER L'ECOLE,ecole
ASSOCIATION DES PARENTS D'ELEVES (APEL) ECOLE NOTRE DAME DRULHE,"mettre en oeuvre et faire connaître le projet du mouvement d'appartenance à un mouvement national ; adhérer à l'apel du département de l'Aveyron, à l'apel de l'académie de Toulouse et à l'apel national ; réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles et religieuses et plus généralement auprès des tiers ; étudier toutes questions se ratachant à l'écucation des enfants, à leurs droits, leurs devoirs et ceux de leurs familles ; permettre une entraide mutuelle des familles de l'établissement ; apporter à la vie de la communauté éducative et la promouvoir dans le respect des compétences de chacun",ecole
ASSOCIATION DES PARENTS D 'ELEVES DU COLLEGE PRIVE ST LOUIS DE CAPDENAC GARE,Favoriser le college,gare
LE CAVEAU DE LA GARE,Promouvoir l'expression litteraire et poetique artistique et theatrale avec de soirees thematiques,gare
ASSOCIATION DES PARENTS D'ELEVES DES ECOLES DE LA CAPELLE-BLEYS ET LESCURE-JAOUL,AIDER L'ECOLE,ecole
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE JEANNE D'ARC CAPDENAC,soutien de l'école,ecole
ASSOCIATION GROSBOBO,"Organiser des activités éducatives destinées aux enfants scolarisés ou non dans le but d'informer l'enfant sain sur le monde hospitalier, il est aussi prévu des actions dans le but d'améliorer l'accueil de l'enfant malade au sein de l'hôpital p delpech à decazeville",sain
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE (APEL) DE L'ECOLE SAINTE ANNE DE SANVENSA,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; mettre en uvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national ; à cet effet, l'association adhère à l'apel du département de l'Aveyron, adhérente à l'apel de l'académie de Toulouse, elle-même membre de l'apel nationale ;
réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences du chacun ; apporter son soutien à l'établissement et contribuer à son animation ;",ecole
BANDA LOS PATOS,"pratiquer, promouvoir et enseigner la musique ;",banda
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE NOTRE-DAME VILLENEUVE,Aider l'ecole,ecole
AMICALE SPORT CANIN DECAZEVILLE (ASCD),conseiller et guider ses adhérents dans l'éducation de leurs chiens pour que ceux-ci s'intègrent bien dans l'environnement social ; assurer la promotion et la bonne pratique des activités canines reconnues par la société centrale canine pour permettre le développement des aptitudes des différentes races afin que les chiens soient mieux en mesure de participer aux épreuves et concours organisés par la société centrale canine et par ses membres,guider
ASSOCIATION DE PARENTS D'ELEVES DU COLLEGE ST DOMINIQUE ET DE L'ECOLE ST JEAN BAPTISTE,Aider le college,ecole
BANDA D'AUVERGNE,PROMOUVOIR LA MUSIQUE,banda
"ASSOCIATION DES PARENTS D'ELEVES 
ECOLE STE CROIX","promouvoir et gérer (directement ou en participation) dans l'intérêt des élèves et de leurs familles toutes manifestations et/ou organismes, scolaires et/ou périscolaires de caractère éducatif, culturel et sportif",ecole
ASSOCIATION DES JEUNES 2KZ,"réunir les jeunes de toutes cultures et de tous horizons et au-delà des jeunes, toute personne attachée à ses objectifs ou intéressée par ses activités; persuadée que l'éducation se poursuit en dehors de l'école et tout au long de la vie, l'association entend développer des activités sportives, artistiques et culturelles pour tous ses membres, ancrée dans sa cité, l'association entend développer la citoyenneté active de tous ses membres",long
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE MARCEL PAGNOL DE COMBES,aider l'école,ecole
LES AMIS DE L'INSTITUTION ST JOSEPH,ADMINISTRER L'ECOLE,ecole
FOYER DES JEUNES DE COMPOLIBAT,"but récréatif : aménager dans un cadre communal, un centre éducatif ouvert à tous les membres de la communauté domiciliés ou ayant des attaches dans le périmètre qui est celui de l'association ; organiser les loisirs de la communauté (éducation physique et sportive, théâtre, voyages ; renforcer par tous les moyens la solidarité morale de tous les habitants",ouvert
CLUB DE L'AMITIE DE CAPDENAC-GARE,"organiser les loisirs des personnes adhérentes en les orientant si possible vers un but culturel (réunions amicales, jeux, cinéma, culture physique, activités artistiques manuelles, excursions, voyages découverte, promenades etc",gare
ORGANISME DE GESTION DES ECOLES CATHOLIQUES DE ST DOMINIQUE LA FOUILLADE (OGEC),Gestion de l'ecole,ecole
AQUI EVENTS,"étude et organisation d'évènements populaires et culturels, de spectacles, d'expositions et de toutes manifestations prenant appui sur le potentiel de création et sur les ressources artistiques, culturelles, linguistiques des pays de l'arc européen Pyrénées-Méditerranée : Aragon, Catalogne, Baléares, Languedoc-Roussillon et Midi-Pyrénées",midi
CONSEIL LOCAL DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LABASTIDE L'EVEQUE,"GErer la cantine, participer a la vie scolaire",ecole
ASSOCIATION U.S.E.P. ECOLE PIERRE RIOLS,"Former Â la responsabilitE, au civisme, Â l'autonomie par la pratique d'activitE physiques, sportives de pleine nature socioculturelles, dans le cadre d'un fonctionnement dEmocratique, contribuer Â l'Education globale des enfants",ecole
CENTRE ECOLE LOISIRS ENFANCE LA ROUQUETTE (C.E.L.E.R.),Promouvoir des loisirs Educatifs pour les enfants,ecole
CONSEIL DES PARENTS D'ELEVES ECOLE PUBLIQUE PREVINQUIERES,"veiller à la défense des intérêts matériels et moraux de l'école laïque, représenter les parents auprès des pouvoirs publics et agir légalement en leur nom, les documenter sur tout ce qui concerne la vie et l'orientation des enfants, organiser les manifestations extra scolaires servant à alimenter les finances de l'association",ecole
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE JEAN LAFON DE LA FOUILLADE (A.P.E.),"sa première fonction est de regrouper l'ensemble des parents d'élèves afin de formuler des voeux concernant des idées, des solutions, des actions, des moyens matériels et financiers souhaitables pour l'épanouissement de tous les enfants, sans en privilégier aucun et tout en étant respectueux de chaque famille ; elle a aussi pour mission de financer des projets émis par les équipes pédagogiques, par exemple les voyages scolaires, les sorties piscine, le cinéma... et d'assurer quelques nécessités matérielles",ecole
"LOU MOULI DEL BENT, RESIDENCES SERVICES","adapter la résidence services à l'accueil des personnes dépendantes, soumettre l'établissement à la règlementation habitation et à la règlementation des établissements recevant du public pour des parties communes, permettre de continuer à vivre de manière indépendante dans cette résidence services en bénéficiant d'un environnement sécurisé",bent
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE JEAN MOULIN DE DECAZEVILLE,"Organisations de kermesses, spectacles afin de financer les dépenses extra-scolaires",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE NAJAC,Aider l'ecole,ecole
KARAM KRIYA ORGANISATION,"favoriser le développement et l'épanouissement de l'être humain dans sa globalité, grâce à la promotion et la transmission de Karam Kriya (numérologie appliquée) : l'étude des chiffres à travers la vie et de la vie à travers les chiffres, par l'enseignement, la formation, la pratique, la recherche et les consultations, et à travers d'autres activités, conférences et-ou pratiques pouvant enrichir Karam Kriya",karam
ASSOCIATION D'USAGERS POUR LA PROMOTION ET LE DEVELOPPEMENT DU RAIL EN MIDI-PYRENEES,DEfense du service public du rail maintien et dEveloppement de tous les services techniques et humains dans les gares,midi
ECOLE DU VILLEFRANCHOIS D'AIKIDO TRADITIONNEL ET DE T-AIKIDO (E.V.A.T.),arts martiaux,ecole
ECOLE MOTO CLUB ROUERGAT,Initiation a la moto,ecole
ASSOCIATION DE PARENTS DE L'ENSEIGNEMENT LIBRE (APEL) DE LA STE FAMILLE,AIDE A L'ECOLE,ecole
ASSOCIATION FAMILIALE FAMILLES DE FRANCE DU VILLEFRANCHOIS,"d'agir pour que les familles disposent d'un environnement favorable à leur épanouissement ; environnement basé sur des principes éthiques, respectueux de tous les membres de la famille, permettant aux parents d'accueillir et d'éduquer le nombre d'enfants qu'ils désirent ; environnement généré par une politique familiale basée sur des prestations, des équipements et services facilitant la vie quotidienne matérielle et financière des familles ; de soutenir, valoriser et accompagner la volonté des hommes et des femmes de s'engager dans un projet familial ; de faire entendre les besoins des familles dans tous les aspects de la vie quotidienne, de faire reconnaître la place des familles comme premiers éducateurs à la vie sociale, à la responsabilité, à la solidarité ainsi que leur contribution au développement de la société, de faire respecter l'ensemble des intérêts moraux et matériel des familles adhérentes",basé
ASSOCIATION DES DONNEURS DE SANG BENEVOLES DE CAPDENAC GARE,Reunir les donneurs de sang de la region de capdenac,sang
A CIEL OUVERT,"organiser des activités culturelles, sportives, etc",ouvert
MEDI CERCLE DU VILLEFRANCHOIS,Grouper les medecins generalistes ou specialistes pour un perfectionnement post universitaire,post
GENERATIONS 12,"aide et garde à domicile pour personnes , fragiles autonomes, semi autonomes, semi autonome, dépendantes et aux familles désireuses de faire garder leurs enfants de 0 à 3 ans à domicile de jour comme de nuit y compris les week ends",semi
BETO CADA,PROMOUVOIR LA CULTURE AFRICAINE ORGANISER DES STAGES ECOLE DE PERCUSSION,ecole
ECOLE DE MUSIQUE DE CRANSAC LES THERMES,Cours de solfège et instruments à vent,ecole
AMICALE DES ANCIENS ELEVES DE L'ECOLE PUBLIQUE DE NAJAC,repas sorties voyages,ecole
ASSOCIATION SPORTIVE DU COLLEGE VOLTAIRE DE CAPDENAC GARE,Sport au college,gare
COMITE DES FETES DE MARIN,organisation de réjouissances publiques à l'occasion des fêtes de Marin et à l'occasion de diverses manifestations et de sorties organisées tout au long de l'année,long
CONSEIL DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE FLAGNAC,organiser des évènements permettant de financer des projets liés à l'école publique de Flagnac,ecole
ORGANISME DE GESTION DE L'ECOLE CATHOLIQUE (OGEC) DE L'ENSEMBLE SAINT-JOSEPH,"dans le respect du droit français d'une part, du statut de lenseignement catholique en France et des décisions du comité national de lenseignement catholique et des accords conclus en son sein dautre part, assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; conformément à larticle 134 du statut de lenseignement catholique, lorganisme de gestion a la responsabilité de la gestion économique, financière et sociale dun ou plusieurs établissement(s) ; exerce conformément aux projets de lécole, aux orientations de lautorité de tutelle et aux textes internes à lEnseignement catholique, contribue à assurer la mise en oeuvre matérielle du projet éducatif dont il est l'employeur des personnels de droit privé » ; se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes et, dune manière générale, se livrer à toute activité en lien avec son objet principal ; passer convention avec l'Etat, les collectivités territoriales, ainsi qu'avec tout organisme concourant, même partiellement, à son objet ; acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance.",ecole
"TEMPO, ECOLE DE MUSIQUE DE VILLENEUVE D'AVEYRON",enseignement de la musique,ecole
TWIRLING BÂTON AUBIN,Pratique de l'education physique et du twirling baton,baton
OGEC ECOLE NOTRE DAME,"Assurer la gestion materielle, le fonctionnement et le developpement d'ecoles libres et notammentl'ecole notre dame",ecole
ASSOCIATION DES PARENTS D'ELEVES (A.P.E.L.) ECOLE NOTRE DAME,aide et soutien aux projets pédagogiques de l'école maternelle et primaure Notre Dame,ecole
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE NAJAC,"Participer Â la vie scolaire, organiser des manifestations",ecole
ASSOCIATION SPORTIVE DE L'ETABLISSEMENT,pratique multisportive dans le cadre du mercredi après-midi et de son affiliation à l'union nationale du sport scolaire,midi
PETAN CLUB DE LA GARE,Pratique de la petanque,gare
O.G.E.C. ECOLE ET COLLEGE ST-GERAUD,Gestion et entretien de l'ecole et du college,ecole
OCCAZIQUE,"promouvoir la récupération, la vente, l'échange, de tout matériel touchant de près ou de loin le domaine de la musique, de la scène, du spectacle en général et d'organiser toutes manifestation culturelle et patrimoniale pouvant contribuer au bon fonctionnement de l'association",loin
ASSOCIATION DE PARENTS ET D'ELEVES DE L'ANTENNE ROUERGUE DE L'ECOLE NATIONALE DE MUSIQUE DU DEPARTEMENT DE L'AVEYRON,"DEfendre l'intErÊt des Elèves, dEvelopper l'enseignement de la musique et participer au fonctionnement de l'Ecole",ecole
AMICALE LAIQUE ET REPUBLICAINE DE LA COMMUNE D'AUBIN,recherche et mise en oeuvre de tous les moyens susceptibles d'améliorer la situation matérielle et morale des élèves fréquentant l'ecole publique laïque  et de parfaire l'éducation des jeunes.,ecole
OGEC ECOLE ET COLLEGE PRIVES DE RIEUPEYROUX,Gestion financière de l'enseignement catholique,ecole
ASSOCIATION DES DONNEURS DE SANG BENEVOLES DE LA REGION DE VILLEFRANCHE-DE-ROUERGUE,favoriser le don du sang,sang
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE ET COLLEGE PRIVES DE RIEUPEYROUX,aider l'ecole,ecole
L'ODYSSEE VITALE,"promouvoir et enseigner la Biodanza système Rolando Toro, en pouvant y associer toute pratique tendant au mieux être des individus jugée comme compatible avec la Biodanza ; organisation de cours hebdomadaires, stages, expositions et représentations",toro
SAHELROUERGUE QUERCY DU DOCTEUR PIERRE MARRE,apporter une aide materielle et technique aux populations des regions les plus desheritees d'afrique et surtout du sahel ; â but humanitaire en pays dogon au mali sur le plan medical et construction de puits,mali
ASSOCIATION KUNG FU WUSHU SANDA (KFWS),"pratique et promotion de différents styles de boxes (k1, kick boxing, muay thai...) ainsi que de la forme pugilistique du kung fu : le sanda ; les différentes disciplines seront organinées par sections sportives ; organisation de séquences collectives d'entrainements, de stages, de démonstrations publiques etc ; accès aux compétitions et stages organisés par les fédérations auxquelles est rattaché l'association",sanda
BATUCADA SAMBA'RJO,"pratique des instruments de percussions brésilienne, animation de fêtes, manifestations sportives, bals, etc",samba
WEMA WA DECAZEVILLE,faire de la dans mahoraise (M'BIWI) et d'autres manifestations culturelles,biwi
INFO-SONO,"sonoriser et animer , voir la location festival ou autre tip de soirée intérieure ou extérieure, dépannage informatique et à long terme a réalisé des bénéfices",long
"ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DE LA BASTIDE L'EVEQUE, LE BOURG  (A.P.E.B.)","aide au financement d'animations, sorties, activités scolaires ou extra scolaire, l'achat de matériels pour les enfants scolarisés à l'école publique , le bourg 12200 la bastide l'éveque",ecole
LES HAUTS PARLEURS,"développer des activités sociales, culturelles, ouvertes à tous, en mettant à contribution des personnes ou des associations de tous horizons, tout en assurant la gestion et l'animation d'un lieu ouvert avec un bar restaurant",ouvert
ASSOCIATION DE SOUTIEN AU VILLAGE DE FORGHO (A.S.V.F.),"réunir en France des moyens humains, financiers et matériels destinés à soutenir l'action menée à Forgho (Mali) par l'association des jeunes pour le développement du village de Forgho (A.J.D.F.) ; constituée le 27 octobre 2007 à Forgho par des jeunes habitants du village : l'A.J.D.F. oeuvre dans les domaines de l'éducation, la santé, l'agriculture et le tourisme",mali
ECOLE DE PETANQUE DU BASSIN,"pratique et développement de la pétanque chez les enfants de 8 à 18 ans ; ériger en principe sa neutralité dans les domaines philosophique, politique et religieux ; elle ne s'interdit pas  de participer à d'éventuelles actions communes avec d'autres associations",ecole
ASSOCIATION SAINT-AUGUSTIN,"créer soit directement, soit par l'intermédiaire d'associations gestionnaires, d'oeuvres d'éducation et d'oeuvres hospitalières, de maisons de retraite, école et outes oeuvres éducatives et sociales se rapportant à l'objet social ; du fait de l'évolution actuelle de la société, se donner aussi pour objectif de développer l'accueil des personnes fragilisées, par tous moyens ou services qu'elle pourra soutenir ; assurer à cette fin, la gestion des immeubles dont elle a la propriété et qu'elle met ou mettra éventuellement à la disposition d'associations, d'établissements ou de services sous forme de bail ou autre convention ; pouvoir dans un esprit de coopération, soit accorder à d'autres associations se rapportant à son objet social, des aides ou des prêts, soit au contraire recevoir elle-même des subventions ou des prêts et éventuellement le boni de liquidation de toutes oeuvres ou toutes autres associations qui cesseraient leur activité",boni
ASSOCIATION  MARIE VERNIERES,"toutes activités d'aide et d'assistance, sous toutes formes et par tous moyens, de personnes âgées, autonomes, semi-valides ou dépendantes, notamment à travers les activités d'accueil et d'hébergement en ehpad ou en résidences services ou tous autres 
modes d'hébergement pour personnes âgées ou dépendantes; toutes activités d'aide et d'assistance, sous toutes formes et par tous moyens, aux enfants et aux jeunes, notamment en assurant des fournitures de repas aux cantines scolaires et à tout autre public; et plus généralement les activités pouvant entrer directement ou indirectement dans le cadre de l'objet social sans exception ni réserve",semi
CAP MUSIQUE,"ffavoriser la pratique musicale sous forme vivante, principalement au travers d'animations du groupe musical, comprenant la lyre capdenacoise et la banda d'auvergne, dénominations dont elle possède la pleine propriété de manière exclusive, suite aux délibérations des assemblées générales de dissolution des associations concernées ; assurer l'initiation l'enseignement l'apprentissage le perfectionnement et l'évolution par la formation continue de la pratique de groupe d'un point de vue musical et plus généralement artistique, notamment au travers de l'animation, de l'expression corporelle, du théâtre de rue, et de la scénographie ; veiller à encourager tous les publics à la pratique de la musique et de l'animation musicale, en assurant les apprentissages nécessaires dans le cadre de son école de musique ; produire et diffuser ses oeuvres sur tout support approprié",banda
"ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DE MUSIQUE, ANTENNE DE RIEUPEYROUX","promouvoir et organiser des activités visant à développer une pratique collective de la musique et de la danse, apporter une contribution lucide et active au bon fonctionnement de l'école de musique, aider au développement de la vie musicale locale",ecole
A.DAN & KAYI,"faire connaître le Togo dans sa vie quotidienne, sa vie naturelle, son rire, sa joie, ses contacts et ses blagues ; inviter les gens à aller au pays, le découvrir, en les hébergeant dans les familles et à mieux se connaître et partager ; permettre le financement d'intervenants en danse togolaise et africaine, en expression corporelle et connaissance de son corps dans les écoles, collèges, lycées au Togo ; apprendre à jouer des instruments, les fabriquer ; instaurer une pédagogie pour pouvoir garder sa tradition, son patrimoine et les connaître",kayi
ORGANISME DE GESTION DE L'ENSEIGNEMENT CATHOLIQUE (OGEC) DE L'ECOLE NOTRE DAME DE DRULHE,"dans le respect du droit français d'une part, du statut de l'enseignement catholique en France, des décisions du comité national de l'Enseignement catholique, des accords conclus en son sein d'autre part, d'assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; conformément à l'article 134 du statut de l'Enseignement catholique l'organisme de gestion a la responsabilité de la gestion économique financière et sociale d'un ou plusieurs établissements ; exercer conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes internes à l'enseignement catholique, contribuer à assurer la mise en oeuvre matérielle du projet éducatif, être l'employeur des personnels de droit privé ; se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes et d'une manière générale se livrer à toute activité en lien avec son objet principal ; passer convention avec l'Etat, les collectivités territoriales ainsi qu'avec tout organisme concourant même partiellement à son objet ; acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance",ecole
TANA QUEST,"organiser des manifestations sportives (courses nature, trail, raid) et culturelles ; apporter un soutien à des associations à caractère humanitaire ou caritatif (parrainage d'enfants en Afrique)",tana
ASSOCIATION DES PARENTS D' ELEVES DE  L' ECOLE LIBRE DE GARÇONS DE DRULHE,"grouper les chefs de famille ayant la garde des enfants inscrits à l'école, soutien de l'école et des maîtres,",ecole
ASSOCIATION DES PARENTS D ELEVES DE L ECOLE PRIVEE MIXTE DES ALBRES,grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien des élèves et des maîtres,ecole
TARI BALI,"apporter une aide financière et matérielle à une école de danse traditionnelle balinaise située à Gianyar-Bali-Indonésie accessible aux enfants sourds, la développer et la promouvoir ; proposer aux enfants atteints de surdité et non scolarisés des activités artistiques, artisanales en vue de les sortir de leur isolement et leur assurer à terme un avenir professionnel et créer un ou plusieurs centres socioculturels dans diverses régions de Bali",bali
KHALY YONWI CI DIAM,"aider les enfants de l'école Mago Lando Gibraltar 1 à pouvoir aller à l'école sans que les parents se heurtent à des besoins comme fournitures à leurs enfants les aider à avoir des stylos, des cahiers, des livres, etc..",diam
COMITE D' ANIMATION DE PARENTS D' ELEVES DES ECOLES PUBLIQUES DE CAPDENAC-GARE,"organiser des manifestations (quine, fête des écoles, etc) représenter les parents d'élèves des écoles publiques de Capdenac-Gare ; éditer et diffuser plaquettes et tout moyen de communication destinés à renseigner sur les buts de l'activité de l'association ; organiser des manifestations dont les bénéfices sont reversés aux établissements scolaires publics de Capdenac",gare
OGEC ECOLE NOTRE DAME 12260 VILLENEUVE,"l'organisme de gestion a pour objet, dans le respect du droit français d'une part, du statut de l'enseignement catholique en france, des décisions du comité national de l'enseignement catholique, des accords conclus en son sein d'autre part, d'assumer juridiquement la gestion d'établissement d'enseignement fondés par l'autorité canonique compétente; conformément à l'article 134 du statut de l'enseignement catholique, l'organisme de gestion a la responsabilité de la gestion économique ,financière et sociale d'un ou plusieurs établissements; il l'exerce conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes internes à l'enseignement catholique; il contribue à assurer la mise en uvre;  matérielle du projet éducatif; il est l'employeur des personnels de droit privé; l'ogec pourra se livrer à toute activité de gestion se rapportant directement ou indirectement, à l'éducation, l'enseignement, la formation et la culture sous toutes ses formes et d'une manière générale se livrer à toute activité en lien avec son objet principal",ecole
AMICALE LAIQUE DE CRANSAC-LES-THERMES,"diffuser la pensee laïque et defendre les institutions laïques, etablir un lien entre les familles et l'ecole, prolonger l'oeuvre scolaire en promouvant l'education populaire",ecole
AMICALE DES PERSONNELS DU COLLEGE VOLTAIRE DE CAPDENAC GARE,favoriser les rencontres entre les personnels en dehors du temps de travail ; célébrer les moments importants de la vie des personnels,gare
ASSOCIATION DES DONNEURS DE SANG BENEVOLES DE DECAZEVILLE ET SA REGION,favoriser le don du sang,sang
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE LA BASTIDE DE VILLENEUVE D'AVEYRON,veiller à la défense des intérêtes matériels et moraux de l'école publique la Bastide ; mettre en place des actions et évènements ayant pour but de récolter des fonds permettant de soutenir des projets pédagogiques de l'équipe enseignante et financer l'achat de matériel; créer du lien social entre tous les acteurs de la vie de l'école,ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE VILLENEUVE,sport,ecole
A2ROUES,"organisation et animation de manifestations et évènements sportifs autour du 2 roues ayant pour objectif de : promouvoir par diverses animations et manifestations la pratique du sport pour tous et en toute sécurité, au travers de la moto et des différentes disciplines (enduro, rallye, cross) ; faire découvrir le rallye raid et ses exigences techniques, sportives et humaines notamment à l'occasion du 35e dakar ; sensibiliser sur le nécessaire respect de l'environnement des populations lors de la pratique du deux roues",dakar
UNION DEPARTEMENTALE DES ASSOCIATIONS POUR LE DON DE SANG BENEVOLE DE L'AVEYRON (UD 12),"grouper les associations du département adhérentes et les groupements nationaux ; inciter au respect sur le plan départemental du code d'honneur des donneurs de sang bénévoles ; coordonner leur autonomie ; faciliter leur représentation auprès des pouvoirs publics et du corps médical et transfusionnel, organiser la promotion du mouvement pour le don de sang bénévole",sang
ASSOCIATION CHICHIBELLI POUR L'EVENEMENTIEL ET LE SPORT ACES,programmation et organisation d'événements festifs et gala sportifs,gala
VIVE L'ECOLE DE VAILHOURLES,"participer au financement des activités scolaires dans et hors les locaux de l'école, des transports scolaires, du paiement des entrées pour certaines activités en dehors de l'école et de l'achat de matériel et d'ouvrages éducatifs ; les actions envisagées sont la vente de photos réalisées par un professionnel et la vente d'objets par le biais de catalogues de loisirs créatifs",ecole
SECTION LOCALE DES ACCIDENTES DU TRAVAIL ET DES HANDICAPES DE CAPDENAC-GARE,aider les accidentes et handicapes du travail,gare
V.K TEAM,associer des pilotes de motocross afin de trouver des sponsors et partenaires dans le but de participer aux différents championnats de motocross et d'enduro de la Région Midi-Pyrénées,midi
SEGA NIGHT ANIMATION (SNA),"se déplacer dans divers lieux pour sonoriser et animer des bals, des repas dansants et des soirées événementielles organisés par des comités d'entreprises , des mairies, des associations ou des particuliers ; son matériel est adapté au lieu et au nombre de personnes ; cet ensemble est opéré par un ou plusieur DJ - animateurs dont le rôle est de divertir les personnes présentes en les faisant danser et / ou en organisant des jeux divers ; pour réaliser notre but l'association a pour moyen de faire des animations en journées et en soirées, publiques ou privées ; des conférences , des retransmissions vidéos ""clips, bande annonce"" ; tourner des films, photos, enregistrement sonore, de les vendre, de les publier sur réseaux sociaux ou dans la presse ; avoir un site internet, organiser des concours, louer du matériel ""équipement sonore et éclairage ; vendre du matériel pour renouveler celui obsolète ; vendre toute accessoire pour promouvoir l'association ""casquette, t-shirt""",bande
CLUB CANIN DU DOMAINE DE SERIGNAC,"promouvoir la race canine en France, aider les maîtres qui éprouvent des difficultés à éduquer leur chien ; guider les membres qui veulent faire de la compétition",guider
COMITÉ DES FESTIVITES ET ANIMATIONS DE CAPDENAC GARE,organisation de réjouissances publiques payantes ou gratuites,gare
ASSOCIATION DES PARENTS D'ELÈVES DE L'ECOLE MATERNELLE EMILIE-DE-RODAT STE-CLAIRE,soutien materiel et moral Â l'ecole,ecole
SERIGNAC : LE MANOIR DES SENIORS,"dans un contexte de population vieillissante où la solitude et l'isolement concourent à la maladie et à la dépression, une alternative aux maisons de retraite classiques ou aux résidences services s'impose : un lieu où retisser du lien social et affectif ; cette association a pour vocation d'ouvrir à plus ou moins long terme des demeures d'accueil et d'hébergement de seniors valides ; ils trouveront ainsi des activités culturelles, sportives, de loisirs et de bien-être se déroulant dans un magnifique cadre naturel entouré d'animaux",long
L'ASSO DU VÉLO,"l'autoréparation de vélo sous forme d'atelier participatif ; toute activité favorisant le déplacement à vélo et autres moyens de transport non motorisés, hors compétition ; récupération et recyclage de vélo et pièces détachées de vélo",asso
CENTRE INTERINSTITUTIONNEL DE BILANS DE COMPETENCES DE L'AVEYRON (CIBC12),"réaliser auprès de tout public et notamment des demandeurs d'emploi, des salariés et des entreprises des bilans de compétences, prestations d'orientation et d'évaluation, conseils en VAE, conseils en ressources humaines, formations et toute autre prestation dans le champ de l'orientation et de la formation, tout au long de la vie et de la sécurisation des parcours professionnels",long
AJPM ASSO CORPO,"encourager la pratique des activités sportives, prioritairement en direction des salariés de l'entreprise et de leurs familles et d'assurer principalement la pratique de tous les sports dans le cadre corporatif",asso
CERCLES UFOLOGIQUES ET PARANORMAL,"organiser des réunions d'étude du phénomène OVNI et connexes ; enquêter sur le terrain lors de témoignages pertinents ; prendre en compte les observations d'OVNI (Objets Volants Non Identifiés) ou de phénomène dits ""paranormaux"", pouvant être liés de près ou non à la phénoménologie ovnienne ; rester à l'écoute des témoins pouvant éventuellement avoir subi un choc psychologique afin de les guider éventuellement vers des organismes spécialisés dans le domaine du médical ; les accompagner dans leur démarche personnelle ; développer des conférences ou des colloques nationaux/internationaux afin de sensibiliser le public et grand public à l'existence du phénomène OVNI ou connexe",guider
