titre,objet,mot_cle
ASSOCIATION DES PARENTS D'ELEVES DU GROUPE SCOLAIRE JEAN-HENRI FABRE,"Organiser des oeuvres péri-et post-scolaires, financer des activités scolaires, pratiquer toutes activités ayant pour but de faire vivre l'association.",post
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LAVAL ROQUECEZIERE,Organiser une dynamique autour de l'école de Laval-Roquecézière.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE,"Activités extra-scolaires, animation.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BOULOC,promouvoir le bon fonctionnement de l'école et défendre les intérêts de nos enfants.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE EUGÈNE VIALA DE SALLES-CURAN,La participation des parents à la vie associative de l'école publique,viala
O.G.E.C. DE L'ECOLE DE CURAN,"dans le respect du droit français d'une part, du statut de l'Enseignement catholique en France, des décisions du Comité national de l'Enseignement catholique, des accords conclus en son sein d'autre part, assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; conformément à l'article 134 du statut de l'Enseignement catholique (""l'organisme de gestion a la responsabilité de la gestion économique, financière et sociale d'un ou plusieurs établissement(s) ; il l'exerce conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes internes à l'Enseignement catholique ; il contribue à assurer la mise en oeuvre matérielle du projet éducatif ; il est l'employeur des personnels de droit privé"" ; l'Ogec peut se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes et d'une manière générale se livrer à toute activité en lien avec son objet principal ; il peut passer convention avec l'Etat, les collectivités territoriales ainsi qu'avec tout organisme concourant même partiellement à son objet ; il peut acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BROQUIES,"Favoriser tout ce qui peut améliorer, ouvrir et enrichir la vie de l'école, avec l'épanouissement des enfants pour centre des préoccupations.",ecole
ARTS CROISES,"Créer un centre culturel et artistique vivant, multi-disciplines, multi-médias, ouvert à tous, pour participer au développement culturel de Saint-Affrique et de sa région.",ouvert
APE ASSOCIATION DES PARENTS D'ELEVES DE L' ECOLE PUBLIQUE JEANNETTE SAMSON DE LAPANOUSE DE SEVERAC,"Permettre aux parents d'élèves de propager et défendre l'idéal laïque dépouillé de toute ingérence politique, de se concerter et formuler des voeux sur tout objet concernant les intérêts moraux et matériels de leurs enfants, d'en poursuivre la réalisation, développer des activités culturelles, sportives, sociales, philantropiques, de se cultiver eux-mêmes, d'assurer une liaison permanente entre la Direction des établissements, les enseignants, et les parents d'élèves dans une atmosphère de",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE ST-MARTIN LES LAURIERS ROSES,"favoriser et garantir le libre choix de l'école conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants selon leur conscience;
promouvoir le caractère propre de l'enseignement catholique exprimé dans le projet éducatif de l'établissement en collaboration avec ses responsables et les organismes concernés;
mettre en oeuvre et faire connaître le projet du mouvement des APEL et renforcer le sentiment d'appartenance à un mouvement national à cet effet l'association adhère à l'APEL du département de l'Aveyron adhérente à l'APEL de l'académie de Toulouse elle même membre de l'APEL nationale;
réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information;
représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses et plus généralement auprès des tiers;
étudier toutes questions se rattachant à l'éducation des enfants à leurs droit et leurs devoir et ceux de leur famille;
permettre une entraide mutuelle des familles de l'établissement;
participer à la vie de la communauté éducative et la promouvoir dans le respect des compétences de chacun;
apporter son soutien à l'établissement et contribuer à son animation",ecole
